name,enabled,source_kind,version,vendor_rel,target_rel,profiles,tags
caveman,1,vendor,1.0.0,vendor/skills/caveman/1.0.0,skills/caveman,minimal|solo-dev|team-collab,compression
codex-parallel-collab,1,vendor,3.1.0,vendor/skills/codex-parallel-collab/3.1.0,skills/codex-parallel-collab,solo-dev|team-collab,parallel
commit-daily-summary,1,vendor,3.1.0,vendor/skills/commit-daily-summary/3.1.0,skills/commit-daily-summary,solo-dev|team-collab,summary
project-daily-summary,1,vendor,3.1.0,vendor/skills/project-daily-summary/3.1.0,skills/project-daily-summary,solo-dev|team-collab,summary
research-note-wrap,1,vendor,3.1.0,vendor/skills/research-note-wrap/3.1.0,skills/research-note-wrap,solo-dev|team-collab,summary
session-wrap,1,vendor,3.1.0,vendor/skills/session-wrap/3.1.0,skills/session-wrap,solo-dev|team-collab,summary
worktree-closeout,1,vendor,3.1.0,vendor/skills/worktree-closeout/3.1.0,skills/worktree-closeout,solo-dev|team-collab,summary
brainstorming,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/brainstorming,skills/brainstorming,team-collab,superpowers
writing-plans,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/writing-plans,skills/writing-plans,team-collab,superpowers
systematic-debugging,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/systematic-debugging,skills/systematic-debugging,team-collab,superpowers
verification-before-completion,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/verification-before-completion,skills/verification-before-completion,team-collab,superpowers
requesting-code-review,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/requesting-code-review,skills/requesting-code-review,team-collab,superpowers
receiving-code-review,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/receiving-code-review,skills/receiving-code-review,team-collab,superpowers
test-driven-development,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/test-driven-development,skills/test-driven-development,team-collab,superpowers
executing-plans,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/executing-plans,skills/executing-plans,team-collab,superpowers
dispatching-parallel-agents,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/dispatching-parallel-agents,skills/dispatching-parallel-agents,team-collab,superpowers
subagent-driven-development,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/subagent-driven-development,skills/subagent-driven-development,team-collab,superpowers
using-git-worktrees,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/using-git-worktrees,skills/using-git-worktrees,team-collab,superpowers
finishing-a-development-branch,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/finishing-a-development-branch,skills/finishing-a-development-branch,team-collab,superpowers
using-superpowers,1,vendor,1.1.9,vendor/plugins/superpowers/1.1.9/skills/using-superpowers,skills/using-superpowers,team-collab,superpowers
