name,version,status,owner
caveman,1.0.0,active,global
codex-parallel-collab,3.1.0,active,global
commit-daily-summary,3.1.0,active,global
project-daily-summary,3.1.0,active,global
research-note-wrap,3.1.0,active,global
session-wrap,3.1.0,active,global
worktree-closeout,3.1.0,active,global
brainstorming,1.1.9,active,global
writing-plans,1.1.9,active,global
systematic-debugging,1.1.9,active,global
verification-before-completion,1.1.9,active,global
requesting-code-review,1.1.9,active,global
receiving-code-review,1.1.9,active,global
test-driven-development,1.1.9,active,global
executing-plans,1.1.9,active,global
dispatching-parallel-agents,1.1.9,active,global
subagent-driven-development,1.1.9,active,global
using-git-worktrees,1.1.9,active,global
finishing-a-development-branch,1.1.9,active,global
using-superpowers,1.1.9,active,global
